datetime, hr
2020-07-24 07:07:59,51.0
2020-07-24 07:08:00,51.0
2020-07-24 07:08:01,50.33
2020-07-24 07:08:02,55.75
2020-07-24 07:08:03,61.2
2020-07-24 07:08:04,59.5
2020-07-24 07:08:05,58.29
2020-07-24 07:08:06,57.38
2020-07-24 07:08:07,59.33
2020-07-24 07:08:08,61.0
2020-07-24 07:08:09,62.64
2020-07-24 07:08:10,63.92
2020-07-24 07:08:11,65.0
2020-07-24 07:08:12,65.93
2020-07-24 07:08:13,66.8
2020-07-24 07:08:14,67.81
2020-07-24 07:08:15,68.71
2020-07-24 07:08:16,69.72
2020-07-24 07:08:17,70.63
2020-07-24 07:08:18,71.5
2020-07-24 07:08:19,72.14
2020-07-24 07:08:20,72.73
2020-07-24 07:08:21,73.04
2020-07-24 07:08:22,73.08
2020-07-24 07:08:23,73.28
2020-07-24 07:08:24,73.46
2020-07-24 07:08:25,73.63
2020-07-24 07:08:26,73.68
2020-07-24 07:08:27,73.76
2020-07-24 07:08:28,73.9
2020-07-24 07:08:29,74.06
2020-07-24 07:08:30,74.22
2020-07-24 07:08:31,74.42
2020-07-24 07:08:32,74.59
2020-07-24 07:08:33,74.89
2020-07-24 07:08:34,75.19
2020-07-24 07:08:35,75.49
2020-07-24 07:08:36,75.71
2020-07-24 07:08:37,75.95
2020-07-24 07:08:38,76.22
2020-07-24 07:08:39,76.46
2020-07-24 07:08:40,76.62
2020-07-24 07:08:41,76.77
2020-07-24 07:08:42,76.93
2020-07-24 07:08:43,77.11
2020-07-24 07:08:44,77.28
2020-07-24 07:08:45,77.38
2020-07-24 07:08:46,77.46
2020-07-24 07:08:47,77.61
2020-07-24 07:08:48,77.74
2020-07-24 07:08:49,77.86
2020-07-24 07:08:50,77.98
2020-07-24 07:08:51,78.09
2020-07-24 07:08:52,78.24
2020-07-24 07:08:53,78.38
2020-07-24 07:08:54,78.54
2020-07-24 07:08:55,78.67
2020-07-24 07:08:56,78.78
2020-07-24 07:08:57,78.92
2020-07-24 07:08:58,79.07
2020-07-24 07:08:59,79.67
2020-07-24 07:09:00,80.27
2020-07-24 07:09:01,80.9
2020-07-24 07:09:02,81.13
2020-07-24 07:09:03,81.22
2020-07-24 07:09:04,81.83
2020-07-24 07:09:05,82.48
2020-07-24 07:09:06,83.13
2020-07-24 07:09:07,83.35
2020-07-24 07:09:08,83.52
2020-07-24 07:09:09,83.6
2020-07-24 07:09:10,83.65
2020-07-24 07:09:11,83.73
2020-07-24 07:09:12,83.85
2020-07-24 07:09:13,83.97
2020-07-24 07:09:14,84.0
2020-07-24 07:09:15,84.02
2020-07-24 07:09:16,83.95
2020-07-24 07:09:17,83.87
2020-07-24 07:09:18,83.78
2020-07-24 07:09:19,83.77
2020-07-24 07:09:20,83.68
2020-07-24 07:09:21,83.72
2020-07-24 07:09:22,83.97
2020-07-24 07:09:23,84.17
2020-07-24 07:09:24,84.38
2020-07-24 07:09:25,84.63
2020-07-24 07:09:26,84.93
2020-07-24 07:09:27,85.22
2020-07-24 07:09:28,85.45
2020-07-24 07:09:29,85.68
2020-07-24 07:09:30,85.92
2020-07-24 07:09:31,86.25
2020-07-24 07:09:32,86.62
2020-07-24 07:09:33,86.87
2020-07-24 07:09:34,87.08
2020-07-24 07:09:35,87.3
2020-07-24 07:09:36,87.55
2020-07-24 07:09:37,87.77
2020-07-24 07:09:38,87.95
2020-07-24 07:09:39,88.12
2020-07-24 07:09:40,88.32
2020-07-24 07:09:41,88.55
2020-07-24 07:09:42,88.78
2020-07-24 07:09:43,88.97
2020-07-24 07:09:44,89.12
2020-07-24 07:09:45,89.28
2020-07-24 07:09:46,89.45
2020-07-24 07:09:47,89.43
2020-07-24 07:09:48,89.42
2020-07-24 07:09:49,89.45
2020-07-24 07:09:50,89.48
2020-07-24 07:09:51,89.45
2020-07-24 07:09:52,89.4
2020-07-24 07:09:53,89.38
2020-07-24 07:09:54,89.35
2020-07-24 07:09:55,89.33
2020-07-24 07:09:56,89.3
2020-07-24 07:09:57,89.2
2020-07-24 07:09:58,89.12
2020-07-24 07:09:59,89.07
2020-07-24 07:10:00,89.02
2020-07-24 07:10:01,88.93
2020-07-24 07:10:02,88.87
2020-07-24 07:10:03,88.88
2020-07-24 07:10:04,88.87
2020-07-24 07:10:05,88.82
2020-07-24 07:10:06,88.75
2020-07-24 07:10:07,88.72
2020-07-24 07:10:08,88.72
2020-07-24 07:10:09,88.75
2020-07-24 07:10:10,88.83
2020-07-24 07:10:11,88.9
2020-07-24 07:10:12,88.92
2020-07-24 07:10:13,88.93
2020-07-24 07:10:14,88.97
2020-07-24 07:10:15,89.02
2020-07-24 07:10:16,89.08
2020-07-24 07:10:17,89.17
2020-07-24 07:10:18,89.23
2020-07-24 07:10:19,89.3
2020-07-24 07:10:20,89.43
2020-07-24 07:10:21,89.55
2020-07-24 07:10:22,89.55
2020-07-24 07:10:23,89.55
2020-07-24 07:10:24,89.53
2020-07-24 07:10:25,89.5
2020-07-24 07:10:26,89.47
2020-07-24 07:10:27,89.42
2020-07-24 07:10:28,89.42
2020-07-24 07:10:29,89.42
2020-07-24 07:10:30,89.4
2020-07-24 07:10:31,89.25
2020-07-24 07:10:32,89.05
2020-07-24 07:10:33,88.87
2020-07-24 07:10:34,88.75
2020-07-24 07:10:35,88.65
2020-07-24 07:10:36,88.55
2020-07-24 07:10:37,88.45
2020-07-24 07:10:38,88.37
2020-07-24 07:10:39,88.32
2020-07-24 07:10:40,88.27
2020-07-24 07:10:41,88.15
2020-07-24 07:10:42,88.02
2020-07-24 07:10:43,87.93
2020-07-24 07:10:44,87.88
2020-07-24 07:10:45,87.87
2020-07-24 07:10:46,87.88
2020-07-24 07:10:47,88.03
2020-07-24 07:10:48,88.18
2020-07-24 07:10:49,88.3
2020-07-24 07:10:50,88.42
2020-07-24 07:10:51,88.62
2020-07-24 07:10:52,88.78
2020-07-24 07:10:53,88.93
2020-07-24 07:10:54,89.08
2020-07-24 07:10:55,89.22
2020-07-24 07:10:56,89.38
2020-07-24 07:10:57,89.6
2020-07-24 07:10:58,89.78
2020-07-24 07:10:59,89.97
2020-07-24 07:11:00,90.15
2020-07-24 07:11:01,90.37
2020-07-24 07:11:02,90.58
2020-07-24 07:11:03,90.68
2020-07-24 07:11:04,90.87
2020-07-24 07:11:05,91.08
2020-07-24 07:11:06,91.28
2020-07-24 07:11:07,91.47
2020-07-24 07:11:08,91.62
2020-07-24 07:11:09,91.77
2020-07-24 07:11:10,91.93
2020-07-24 07:11:11,92.12
2020-07-24 07:11:12,92.3
2020-07-24 07:11:13,92.47
2020-07-24 07:11:14,92.53
2020-07-24 07:11:15,92.58
2020-07-24 07:11:16,92.63
2020-07-24 07:11:17,92.68
2020-07-24 07:11:18,92.75
2020-07-24 07:11:19,92.82
2020-07-24 07:11:20,92.9
2020-07-24 07:11:21,92.97
2020-07-24 07:11:22,93.03
2020-07-24 07:11:23,93.08
2020-07-24 07:11:24,93.12
2020-07-24 07:11:25,93.13
2020-07-24 07:11:26,93.1
2020-07-24 07:11:27,93.1
2020-07-24 07:11:28,93.07
2020-07-24 07:11:29,93.03
2020-07-24 07:11:30,92.97
2020-07-24 07:11:31,92.92
2020-07-24 07:11:32,92.83
2020-07-24 07:11:33,92.77
2020-07-24 07:11:34,92.62
2020-07-24 07:11:35,92.47
2020-07-24 07:11:36,92.32
2020-07-24 07:11:37,92.23
2020-07-24 07:11:38,92.18
2020-07-24 07:11:39,92.13
2020-07-24 07:11:40,92.1
2020-07-24 07:11:41,92.1
2020-07-24 07:11:42,92.1
2020-07-24 07:11:43,92.08
2020-07-24 07:11:44,92.07
2020-07-24 07:11:45,92.05
2020-07-24 07:11:46,92.02
2020-07-24 07:11:47,91.93
2020-07-24 07:11:48,91.83
2020-07-24 07:11:49,91.72
2020-07-24 07:11:50,91.55
2020-07-24 07:11:51,91.3
2020-07-24 07:11:52,91.08
2020-07-24 07:11:53,90.85
2020-07-24 07:11:54,90.6
2020-07-24 07:11:55,90.35
2020-07-24 07:11:56,90.1
2020-07-24 07:11:57,89.82
2020-07-24 07:11:58,89.55
2020-07-24 07:11:59,89.3
2020-07-24 07:12:00,89.07
2020-07-24 07:12:01,88.82
2020-07-24 07:12:02,88.57
