
"2025-02-17 15:29" bad (59/60 >> @60)
"2025-02-19 06:21" bad (31/60 >> @139951)
"2025-02-19 09:26" bad (3/60 >> @139954)
"2025-02-19 16:19" bad (48/60 >> @164722)
"2025-02-20 15:08" bad (37/60 >> @164759)
"2025-02-20 15:56" bad (12/60 >> @167591)
"2025-02-20 16:55" bad (55/60 >> @167646)
"2025-02-21 21:05" bad (27/60 >> @269013)
"2025-02-21 21:51" bad (18/60 >> @269031)
"2025-02-23 07:15" bad (53/60 >> @389264)
"2025-02-23 12:19" bad (40/60 >> @389304)
"2025-02-25 00:32" bad (31/60 >> @519655)
"2025-02-25 07:42" bad (25/60 >> @519680)
"2025-02-25 17:20" bad (6/60 >> @554306)
"2025-02-25 19:44" bad (18/60 >> @554324)

"2025-02-19 06:21 — 2025-02-19 09:26" gap >> (3h4m @139951)
"2025-02-19 09:26 — 2025-02-19 09:27" gap >> (<1m @139954)
"2025-02-19 16:19 — 2025-02-20 15:08" gap >> (22h48m @164722)
"2025-02-20 15:08 — 2025-02-20 15:09" gap >> (<1m @164759)
"2025-02-20 15:56 — 2025-02-20 16:55" gap >> (59m @167591)
"2025-02-20 16:55 — 2025-02-20 16:56" gap >> (<1m @167646)
"2025-02-21 21:05 — 2025-02-21 21:51" gap >> (45m @269013)
"2025-02-21 21:51 — 2025-02-21 21:52" gap >> (<1m @269031)
"2025-02-23 07:15 — 2025-02-23 12:19" gap >> (5h3m @389264)
"2025-02-23 12:19 — 2025-02-23 12:20" gap >> (<1m @389304)
"2025-02-25 00:32 — 2025-02-25 07:42" gap >> (7h9m @519655)
"2025-02-25 07:42 — 2025-02-25 07:43" gap >> (<1m @519680)
"2025-02-25 17:20 — 2025-02-25 19:44" gap >> (2h24m @554306)
"2025-02-25 19:44 — 2025-02-25 19:45" gap >> (<1m @554324)
